Name,Title,_Artist1,_Artist2,_Artist3,_Artist4,_Artist5,url,Type,Lyric,Video,Christmas,Live,Remix,Cover,id,Start,End,Uploader,Duration
Marshmello X Sob X Rbe - First Place (Official Music Video),X Sob X Rbe First Place,Marshmello,,,,,https://www.youtube.com/watch?v=3e8esAwAaEo,Video,0,1,0,0,0,0,3e8esAwAaEo,0.0,0.0,Marshmello,184
Marshmello X Southside - Been Thru This Before (Feat. Giggs & Saint Jhn) [Official Music Video],X Southside Been Thru This Before Giggs,Marshmello,Saint Jhn,,,,https://www.youtube.com/watch?v=9A6QrnFpFjI,Video,0,1,0,0,0,0,9A6QrnFpFjI,0.0,0.0,Marshmello,217
Marshmello X Svdden Death - Crusade (Official Music Video),X Svdden Death Crusade,Marshmello,,,,,https://www.youtube.com/watch?v=hclYqAoLgoE,Video,0,1,0,0,0,0,hclYqAoLgoE,0.0,0.0,Marshmello,183
Marshmello X Yungblud X Blackbear - Tongue Tied (Official Music Video),X Yungblud X Blackbear Tongue Tied,Marshmello,,,,,https://www.youtube.com/watch?v=v4-KVCT97wU,Video,0,1,0,0,0,0,v4-KVCT97wU,0.0,0.0,Marshmello,241
Martin Garrix   Animals Lyrics,Animals,Martin Garrix,,,,,https://www.youtube.com/watch?v=3_aqe6CNa8w,Lyric,1,0,0,0,0,0,3_aqe6CNa8w,0.0,0.0,Tristan Thompson,184
Martin Garrix - Animals (Official Music Video),Animals,Martin Garrix,,,,,https://www.youtube.com/watch?v=IPYTxAHeR_o,Video,0,1,0,0,0,0,IPYTxAHeR_o,0.0,0.0,Martin Garrix,187
Martin Garrix - Animals (Official Video),Animals Club,Martin Garrix,,,,,https://www.youtube.com/watch?v=gCYcHz2k5x0,Video,0,1,0,0,0,0,gCYcHz2k5x0,0.0,0.0,Spinnin' Records,192
Martin Garrix - Animals (Gioni Trap Remix),Animals Gioni Trap Remix,Martin Garrix,,,,,https://www.youtube.com/watch?v=o5ENzs8Czm0,Lyric,1,0,0,0,1,0,o5ENzs8Czm0,0.0,0.0,Trap Nation,238
Martin Garrix - Animals (Original Mix),Animals Original Mix,Martin Garrix,,,,,https://www.youtube.com/watch?v=DuFUtL8zUAk,Lyric,1,0,0,0,0,0,DuFUtL8zUAk,0.0,0.0,Spinnin' Records,305
In The Name Of Love - Martin Garrix & Bebe Rexha (Lyrics),In The Name Of Love,Martin Garrix,Bebe Rexha,,,,https://www.youtube.com/watch?v=x1tcP021BDs,Lyric,1,0,0,0,0,0,x1tcP021BDs,0.0,0.0,Dopelyrics,199
